arg,tittle,genres,argumento
129,Pie en el cielo (1996),Comedia | romance,Una saga caprichosa de un joven cuyas dos pasiones que consumen vida están desentrañando a Traffic Gridlock y una bailarina de vanguardia. Una comedia romántica.
132,Jade (1995),Novela de suspenso,"Un asistente brillante D.A. Investiga un horrible asesinato de hacha y oculta una pista que encontró en la escena del crimen. Bajo amenazas profesionales y un intento de su vida, continúa con el corazón hecho con el corazón. Punto de evidencia a la mujer que aún ama."
135,Down Periscope (1996),Comedia,"LT. CMDR. Tom Dodge se le asigna como capitán a la raya de USS, un antiguo submarino impulsado por diesel que ha visto días mejores."
137,Hombre del año (1995),Documental,"Mirada mornumentaria en Playgirl Magazine Centerfold y 1992 Hombre del año, Dirk Shafer, quien lo mantuvo en secreto de la revista que es gay. La mayor parte de la película es un contexto ficticio ..."
140,De cerca y personal (1996),Drama | Romance,"Una joven ambiciosa, decidida a construir una carrera en el periodismo televisivo, recibe un buen consejo de su primer jefe, y se enamoran."
141,"Birdcage, The (1996)",Comedia,Un propietario de un cabaret gay y su Arrastre Queen Companion aceptan poner un Falso Fallo en línea recta para que su Hijo pueda presentarles a los padres moralistas de la derecha de su novio.
144,"Hermanos McMullen, The (1995)",Comedia,"Tres hermanos católicos irlandeses de Long Island luchan para lidiar con el amor, el matrimonio y la infidelidad."
145,Malos chicos (1995),Acción | Comedia | Crimen | Drama | Thriller,Dos detectives de cadera protegen un testigo de un asesinato mientras investiga un caso de heroína robada de la sala de almacenamiento de la evidencia de su recinto policial.
146,"Amazing Panda Adventure, The (1995)",Aventura | Niños,"Un joven estadounidense que visita en China ayuda a su zoólogo, el padre rescata a un cachorro de panda desde furios furtivos sin escrúpulos, mientras que su reserva de Panda está amenazada con el cierre de oficios oficiosos."
147,"Diarios de baloncesto, The (1995)",Drama,Un adolescente encuentra sus sueños de convertirse en una estrella de baloncesto amenazada después de que él libre cae en el mundialmente desgarrador de la adicción a las drogas.
148,"Terriblemente gran aventura, un (1995)",Drama,"Juego justo después de la Segunda Guerra Mundial, una adolescente ingenua se une a una compañía de teatro en mal estado en Liverpool. Durante una producción de invierno de Peter Pan, la obra se convierte rápidamente en una metáfora oscura para los jóvenes ..."
149,Amateur (1994),Crimen drama suspenso,"Un amnesio se despierta en un callejón de Nueva York. Conozca a Isabelle, un ex nun, ahora escritor erótico, en una cena y sigue su casa. Ella lo ayuda a encontrar su identidad. Luego está Sofía, la estrella porno."
150,Apollo 13 (1995),Aventura | drama | imax,"La NASA debe diseñar una estrategia para devolver a Apollo 13 a la Tierra de manera segura después de que la nave espacial se someta a un daño interno masivo, poniendo las vidas de los tres astronautas a bordo en peligro."
151,Rob Roy (1995),Acción | drama | romance | guerra,"En 1713, Scotland, Rob Roy Macgregor está obligado por un noble y su sobrino, se convierte en un proscrito en busca de venganza mientras huye de los recocidos, y se enfrenta a cargos de ser una jacobita."
152,"Adicción, la (1995)",Drama | Horror,"Una estudiante de graduación de la filosofía de Nueva York se convierte en un vampiro después de ser mordido por uno, y luego intenta llegar a un acuerdo con su nuevo estilo de vida y con el deseo frecuente de sangre humana."
153,Batman Forever (1995),Acción | aventura | comedia | crimen,"Batman debe luchar contra el ex fiscal de distrito Harvey Dent, quien ahora es de dos rostros y Edward Nygma, el Riddler con la ayuda de un psicólogo amoroso y un joven circo acróbata que se convierte en su compañero, Robin."
154,Belleza del día (Belle de Jour) (1967),Drama,Una ama de casa joven frívica decide pasar sus tardes de la semana entre la prostituta.
155,Más allá de Rangoon (1995),Aventura | drama | guerra,"Laura está tratando de recoger las piezas de su vida después del asesinato de su esposo e hijo, y se va de vacaciones con su hermana a Birmania. Después de perder su pasaporte en un mitin político, ella ..."
156,Azul en la cara (1995),Comedia | drama,"Brooklyn Cigar Store es un lugar de reunión de barrio en Brooklyn con Auggie Wren / H.Keitel como centro. Algunas personas son entrevistadas sobre Brooklyn, condimentadas con estadísticas sobre Brooklyn."
157,Bacon canadiense (1995),Comedia | guerra,"El presidente de los Estados Unidos, bajo en las encuestas de opinión, se habla para criar su popularidad al tratar de comenzar una guerra fría contra Canadá."
158,Casper (1995),Aventura | Niños,Un terapeuta de la vida después de la vida y su hija se encuentran con un joven fantasma amistoso cuando se mudan a una mansión desmoronada para deshacerse de las instalaciones de los espíritus malvados.
159,Montañadores (1995),Crimen | Drama | Misterio,"Los jugadores de drogas jóvenes en los proyectos de Brooklyn viven vidas difíciles peligrosas, atrapadas entre sus jefes de medicamentos y los detectives para detenerlos."
160,Congo (1995),Acción | aventura | misterio | ciencia ficción,"Cuando una expedición al Congo Africano termina en un desastre, se ensambla un nuevo equipo para averiguar qué salió mal."
161,Tide Crimson (1995),Drama | Thriller | Guerra,"En un subsil de misiles nucleares de EE. UU., Un joven primer oficial interpreta a un motín para evitar que su gatillo feliz capitán lanzara sus misiles antes de confirmar sus órdenes de hacerlo."
162,Crumb (1994),Documental,Un retrato íntimo de caricaturista controvertido Robert Crumb y su familia traumatizada.
163,Desperado (1995),Acción | Romance | Western,El ex músico y Gunslinger El Mariachi llega a una pequeña ciudad fronteriza mexicana después de estar lejos durante mucho tiempo. Su pasado se pone al día rápidamente con él y pronto se enredó con la droga local Kingpin Bucho y su pandilla.
164,Diablo en un vestido azul (1995),Crimen | Película-Noir | Misterio | Thriller,"Un hombre afroamericano es contratado para encontrar a una mujer, y se mezcla en un escándalo político asesino."
165,Muere duro: con una venganza (1995),Acción | Crimen | Thriller,"John McClane y un propietario de la tienda de Harlem están dirigidos por el terrorista alemán Simon en la ciudad de Nueva York, donde planea robar el edificio de la Reserva Federal."
166,"Generación de Doom, The (1995)",Comedia | crimen | drama,"Jordan Blanco y Amy Blue, dos adolescentes con problemas, recoge un drifter adolescente, Xavier Red. Juntos, el trío se embarca en un viaje lleno de sexo y violencia a través de un América de Psychos y Quickie Marts."
168,Primer caballero (1995),Acción | drama | romance,"Lancelot se enamora de Guinevere, que se va a casar con el rey Arturo. Mientras tanto, un guerracho violento intenta aprovechar el poder de Arthur y sus caballeros de la mesa redonda."
169,Free Willy 2: The Adventure Home (1995),Aventura | Niños | Drama,"El adolescente Jesse se vuelve a reunirse con Willy dos años después de que el salto de la ballena a la libertad, ya que el adolescente intenta rescatar a la ballena asesina y otras orcas de un derrame de petróleo."
170,Hackers (1995),Acción | Aventura | Crimen | Thriller,Los hackers son culpados por hacer un virus que volviera a captar cinco petroleros.
171,Jeffrey (1995),Comedia | drama,Una comedia romántica conmovedora sobre la búsqueda de amor e intimidad en la edad del SIDA. Una historia de un actor / camarero gay treinta que decide ser célibe ... El riesgo de SIDA ha tomado toda la alegría del sexo.
172,Johnny Mnemonic (1995),Acción | Ciencia ficción | Thriller,"Un mensajero de datos, que lleve literalmente un paquete de datos dentro de su cabeza, debe entregarlo antes de que muera de la carga o que sea asesinado por la Yakuza."
173,Juez DREDD (1995),Acción | crimen | ciencia ficción,"En un futuro distópico, Joseph Dredd, el juez más famoso (un oficial de policía con poderes judiciales de campo instantáneo), es condenado por un crimen que no cometió y debe enfrentar su contraparte asesina."
174,Jurado Duty (1995),Comedia,El perdedor de desempleo Tommy Collins está secuestrado para ser un jurado en una prueba de asesino en serie. Hace todo lo que puede prolongar el juicio y las deliberaciones para aprovechar al máximo el alojamiento y la comida gratis.
175,NIÑOS (1995),Drama,"Un día en la vida de un grupo de adolescentes mientras viajan por el patinaje de la ciudad de Nueva York, beber, fumar y desventajas de las vírgenes."
176,Vivir en Oblivion (1995),Comedia,Este homenaje final a todos los cineastas independientes se lleva a cabo durante un día en el conjunto de una película no presupuestaria.
177,Lord of Illusions (1995),Horror,"Un detective privado obtiene más de lo que se encuentra cuando se encuentra con Philip Swan, un intérprete cuyas increíbles ilusiones cautivos del mundo, pero no son realmente lo que todos piensan."
178,Amor y restos humanos (1993),Comedia | drama,"Ubicado en un triste paisaje urbano de Edmonton, el amor y los restos humanos es una comedia oscura sobre un grupo de veintees que buscan amor y significado en los años 90. La película se centra en ..."
179,Mad Love (1995),Drama | Romance,La historia salvaje y sexy de dos jóvenes apasionados que llevan a la carretera por la increíble aventura de sus vidas.
180,Mallrats (1995),Comedia | romance,"Ambos tirados por sus novias, dos mejores amigos buscan refugio en el centro comercial local."
181,Mighty Morphin Power Rangers: The Movie (1995),Acción | niños,"Un huevo gigante está desenterrado en un sitio de construcción y pronto se abrió, liberando el terrible Ivan Ooze, que causa venganza en Zordon por encarcelarlo hace milenios. Con Zordon Dying y sus poderes perdidos, los Rangers se dirigen a un planeta lejano para encontrar el Mystic Warrior Dulcea."
183,Testigo silencioso (1994),Comedia | horror | thriller,"Un artista de maquillaje mudo que trabaja en una película de slasher que se filtra en Moscú, está bloqueada en el estudio después de las horas. Mientras estaba allí, ella testifica un asesinato brutal, y debe escapar de la captura."
184,NADJA (1994),Drama,"Este cuento de vampiros ultra moderno se encuentra en la ciudad contemporánea de Nueva York. Los miembros de una familia disfuncional de vampiros están tratando de llegar a un acuerdo entre sí, a raíz de ..."
185,"Neto, el (1995)",Acción | Crimen | Thriller,"Un programador de computadoras se tropieza con una conspiración, poniendo su vida y la vida de quienes la rodean en gran peligro."
186,Nueve meses (1995),Comedia | romance,"Cuando descubre que su novia de larga data está embarazada, un compromiso: Fobe se da cuenta de que podría tener que cambiar su estilo de vida para mejor o mucho peor, mucho peor."
187,Party Girl (1995),Comedia,"Party Girl Mary se resanera de la cárcel por su bibliotecaria Godmother. Ella comienza a trabajar en la biblioteca, llena lentamente su cerebro vacío."
188,"Prophecy, The (1995)",Fantasía | Horror | Misterio,"En la escena de un bizarro asesinato, L.A.A. Homicidio Detective Thomas Dagget descubre una profecía celestial letal ahora que se está cumpliendo en la Tierra. En su lucha para detener a las fuerzas del mal, encuentra un aliado poco probable en un maestro de escuela primaria."
